08-2001_0	A preparatory study on the capitalization of Portuguese BN has been performed by ( )	DT JJ NN IN DT NN IN NP NP VHZ VBN VVN IN ( )	BackGround	GRelated	Neutral
08-2001_0	Results from previous experiment are still worse than results achieved by other work on the area ( ) (about 94% precision and 88% recall), specially in terms of recall	NNS IN JJ NN VBP RB JJR IN NNS VVN IN JJ NN IN DT NN ( ) NN CD NN CC CD NN , RB IN NNS IN NN	Compare	Compare	Positive
08-2001_1	The modeling approach here described is discriminative, and is based on maximum entropy (ME) models, firstly applied to natural language problems in ( )	DT NN NN RB VVN VBZ JJ , CC VBZ VVN IN JJ NN NN NNS , RB VVN TO JJ NN NNS IN ( )	BackGround	SRelated	Neutral
08-2001_2	The capitalization problem can be seen as a sequence tagging problem ( ), where each lower-case word is associated to a tag that describes its capitalization form	DT NN NN MD VB VVN IN DT NN VVG NN ( ) , WRB DT JJ NN VBZ VVN TO DT NN WDT VVZ PP$ NN NN	BackGround	GRelated	Neutral
08-2001_3	Concerning this subject, ( ) shows that, as the time gap between training and test data increases, the performance of a named tagger based on co-training ( ) decreases	VVG DT NN , ( ) VVZ IN/that , IN DT NN NN IN NN CC NN NNS NNS , DT NN IN DT VVN NN VVN IN NN ( ) NNS	BackGround	SRelated	Neutral
08-2001_5	Evaluation results may be influenced when taking such words into account ( )	NN NNS MD VB VVN WRB VVG JJ NNS IN NN ( )	BackGround	SRelated	Neutral
08-2001_6	The capitalization task, also known as truecasing ( ), consists of rewriting each word of an input text with its proper case information	DT NN NN , RB VVN IN NN ( ) , VVZ IN VVG DT NN IN DT NN NN IN PP$ JJ NN NN	BackGround	GRelated	Neutral
08-2001_6	( ) builds a trigram language model (LM) with pairs (word, tag), estimated from a corpus with case information, and then uses dynamic programming to disambiguate over all possible tag assignments on a sentence	( ) VVZ DT NN NN NN NN IN NNS NN , NN , VVN IN DT NN IN NN NN , CC RB VVZ JJ NN TO VV IN DT JJ NN NNS IN DT NN	BackGround	GRelated	Neutral
08-2001_7	The evaluation is performed using the metrics: Precision, Recall and SER (Slot Error Rate) ( )	DT NN VBZ VVN VVG DT JJ NN , NP CC NP NP NP NP ( )	Fundamental	Basis	Neutral
08-2001_8	In fact, subtitling of BN has led us into using a baseline vocabulary of 100K words combined with a daily modification of the vocabulary ( ) and a re-estimation of the language model	IN NN , VVG IN NP VHZ VVN PP IN VVG DT JJ NN IN NN NNS VVN IN DT JJ NN IN DT NN ( ) CC DT NN IN DT NN NN	Fundamental	Basis	Neutral
08-2001_10	Other related work includes a bilingual capitalization model for capitalizing machine translation (MT) outputs, using conditional random fields (CRFs) reported by ( )	JJ JJ NN VVZ DT JJ NN NN IN VVG NN NN NN NNS , VVG JJ JJ NNS NN VVN IN ( )	BackGround	GRelated	Neutral
08-2002_0	Whereas the more commonly applied Akaike Information Criterion ( ) requires the number of estimated parameters to be determined exactly, the DIC facilitates the evaluation of mixed-effects models by relaxing this requirement	IN DT RBR RB VVN NP NP NP ( ) VVZ DT NN IN JJ NNS TO VB VVN RB , DT NP VVZ DT NN IN JJ NNS IN VVG DT NN	BackGround	SRelated	Negative
08-2002_1	A growing body of work in cognitive science characterizes human readers as some kind of probabilistic parser ( )	DT VVG NN IN NN IN JJ NN VVZ JJ NNS IN DT NN IN JJ NN ( )	BackGround	GRelated	Neutral
08-2002_1	This observation is consistent with Brants and Crocker's ( ) observation that accuracy can be maintained even when restricted to 1% of the memory required for exhaustive parsing	DT NN VBZ JJ IN NP CC NP ( ) NN IN/that NN MD VB VVN RB WRB VVN TO CD IN DT NN VVN IN JJ VVG	Compare	Compare	Positive
08-2002_4	This basic notion has proved remarkably applicable across sentence types and languages ( )	DT JJ NN VHZ VVN RB JJ IN NN NNS CC NNS ( )	BackGround	GRelated	Positive
08-2002_5	The length of time that a reader's eyes spend fixated on a particular word in a sentence is known to be affected by a variety of word-level factors such as length in characters, n-gram frequency and empirical predictability ( )	DT NN IN NN IN/that DT NNS NNS VVP VVN IN DT JJ NN IN DT NN VBZ VVN TO VB VVN IN DT NN IN JJ NNS JJ IN NN IN NNS , NN NN CC JJ NN ( )	BackGround	SRelated	Neutral
08-2002_6	From a cognitive perspective, the utility of small k parsers for modeling comprehension difficulty lends credence to the view that the human processor is a single-path analyzer ( )	IN DT JJ NN , DT NN IN JJ NN NNS IN VVG NN NN VVZ NN TO DT NN IN/that DT JJ NN VBZ DT NN NN ( )	BackGround	GRelated	Neutral
08-2002_7	Hale ( ) suggests this quantity as an index of psycholinguistic difficulty	NP ( ) VVZ DT NN IN DT NN IN JJ NN	BackGround	GRelated	Neutral
08-2002_8	The parser's outputs define a relation on word pairs ( )	DT NNS NNS VV DT NN IN NN NNS ( )	BackGround	SRelated	Neutral
08-2002_11	Our methodology imposes this requirement by fitting a kind of regression known as a linear mixed-effects model to the total reading times associated with each sentence-medial word in the Potsdam Sentence Corpus (PSC) ( )	PP$ NN VVZ DT NN IN NN DT NN IN NN VVN IN DT JJ NN NN TO DT JJ NN NNS VVN IN DT JJ NN IN DT NP NP NP NN ( )	Fundamental	Basis	Neutral
08-2002_12	When more than one transition is applicable, the parser decides between them by consulting a probability model derived from the Negra and Tiger newspaper corpora ( )	WRB JJR IN CD NN VBZ JJ , DT NN VVZ IN PP IN VVG DT NN NN VVN IN DT NP CC NP NN NNS ( )	BackGround	SRelated	Neutral
08-2002_14	From the theoretical side, we calculate word-by-word surprisal predictions from a family of incremental dependency parsers for German based on Nivre ( ); these parsers differ only in the size k of the beam used in the search for analyses of longer and longer sentence-initial substrings	IN DT JJ NN , PP VVP NN NN NNS IN DT NN IN JJ NN NNS IN JJ VVN IN NP ( NN DT NNS VVP RB IN DT NN NN IN DT NN VVN IN DT NN IN NNS IN JJR CC RBR JJ NNS	Fundamental	Basis	Neutral
08-2002_16	Perhaps human parsing is boundedly rational in the sense of the bound imposed by Stack3 ( )	RB JJ VVG VBZ RB JJ IN DT NN IN DT VVN VVN IN NP ( )	BackGround	MRelated	Neutral
08-2002_18	We evaluated the change in relative 7 quality of fit due to surprisal with the Deviance Information Criterion (DIC) discussed in Spiegelhalter et al.( )	PP VVD DT NN IN JJ CD NN IN NN JJ TO NN IN DT NP NP NP NN VVN IN NP NP NP ( )	Fundamental	Basis	Neutral
08-2003_0	Because of this, ( ) defines the tree kernel algorithm whose computational complexity does not depend on m	IN IN DT , ( ) VVZ DT NN NN NN WP$ JJ NN VVZ RB VV IN NN	BackGround	SRelated	Neutral
08-2003_1	Recently, the graph-based method (LexRank) is applied successfully to generic, multi-document summarization ( )	RB , DT JJ NN NN VBZ VVN RB TO JJ , NN NN ( )	BackGround	GRelated	Positive
08-2003_1	In ( ), the concept of graph-based centrality is used to rank a set of sentences, in producing generic multi-document summaries	IN ( ) , DT NN IN JJ NN VBZ VVN TO VV DT NN IN NNS , IN VVG JJ NN NNS	BackGround	SRelated	Neutral
08-2003_2	Initiatives such as PropBank (PB) ( ) have made possible the design of accurate automatic Semantic Role Labeling (SRL) systems like ASSERT ( )	NNS JJ IN NP NP ( ) VHP VVN JJ DT NN IN JJ JJ NP NP NP NN NNS IN NP ( )	BackGround	GRelated	Positive
08-2003_4	We carried out automatic evaluation of our summaries using ROUGE ( ) toolkit, which has been widely adopted by DUC for automatic summarization evaluation	PP VVD RP JJ NN IN PP$ NNS VVG NP ( ) NN , WDT VHZ VBN RB VVN IN NP IN JJ NN NN	Fundamental	Basis	Positive
08-2003_6	A topic-sensitive LexRank is proposed in ( )	DT JJ NN VBZ VVN IN ( )	BackGround	GRelated	Neutral
08-2003_6	To apply LexRank to query-focused context, a topic-sensitive version of LexRank is proposed in ( )	TO VV NN TO JJ NN , DT JJ NN IN NP VBZ VVN IN ( )	BackGround	SRelated	Neutral
08-2004_2	So far, linguistic cues have played an important role in research of subjectivity recognition (e.g.( )), sentiment analysis (e.g.( )), and emotion studies (e.g.( ))	RB RB , JJ NNS VHP VVN DT JJ NN IN NN IN NN NN NP ( NP , NN NN NN ( NN , CC NN NNS JJ ( NN	BackGround	GRelated	Positive
08-2004_4	Wiebe ( ) further adapted this definition of subjectivity to be "the linguistic expression of private states ( )"	NP ( ) RBR VVN DT NN IN NN TO VB JJ JJ NN IN JJ NNS ( NN	BackGround	GRelated	Neutral
08-2004_5	They have shown that subjectivity annotations can be helpful for word sense disambiguation when a word has distinct subjective senses and objective senses ( )	PP VHP VVN IN/that NN NNS MD VB JJ IN NN NN NN WRB DT NN VHZ JJ JJ NNS CC JJ NNS ( )	BackGround	SRelated	Positive
08-2004_6	First, non-objectivity cannot be clearly identified without knowledge about its source ( )	RB , NN MD VB RB VVN IN NN IN PP$ NN ( )	BackGround	SRelated	Neutral
08-2004_7	Second, non-objectivity always lies in a context, which cannot be ignored ( )	RB , NN RB VVZ IN DT NN , WDT MD VB VVN ( )	BackGround	SRelated	Neutral
08-2005_0	We have examined sentence extraction agreement between experts using the prevalence-adjusted bias-adjusted (PABA) kappa to account for prevalence of judgments and conflicting biases amongst experts ( )	PP VHP VVN NN NN NN IN NNS VVG DT JJ JJ NN NN TO VV IN NN IN NNS CC JJ NNS IN NNS ( )	Fundamental	Basis	Neutral
08-2005_3	The gazetteer feature checks named entities from each sentence against the Alexandria Digital Library (ADL) Gazetteer ( )	DT NN NN NNS VVD NNS IN DT NN IN DT NP NP NP NP NP ( )	BackGround	SRelated	Neutral
08-2005_4	Knowledge maps consist of nodes containing rich concept descriptions interconnected using a limited set of relationship types ( )	NN NNS VVP IN NNS VVG JJ NN NNS VVN VVG DT JJ NN IN NN NNS ( )	BackGround	GRelated	Neutral
08-2005_5	We use ROUGE ( ) to assess summary quality using common n-gram counts and longest common subsequence (LCS) measures	PP VVP NP ( ) TO VV NN NN VVG JJ NN NNS CC JJS JJ NN NN NNS	Fundamental	Basis	Neutral
08-2005_6	Lin and Pantel ( ) discover concepts using clustering by committee to group terms into conceptually related clusters	NP CC NP ( ) VV NNS VVG VVG IN NN TO NN NNS IN RB VVN NNS	BackGround	GRelated	Neutral
08-2005_7	On-toLearn extracts candidate domain terms from texts using a syntactic parse and updates an existing ontology with the identified concepts and relationships ( )	NP VVZ NN NN NNS IN NNS VVG DT JJ VVP CC NNS DT JJ NN IN DT VVN NNS CC NNS ( )	BackGround	GRelated	Neutral
08-2005_8	Learning research indicates that knowledge maps may be useful for learners to understand the macro-level structure of an information space ( )	VVG NN VVZ IN/that NN NNS MD VB JJ IN NNS TO VV DT JJ NN IN DT NN NN ( )	BackGround	GRelated	Positive
08-2005_10	Finally, MEAD is a widely used MDS and evaluation platform ( )	RB , NP VBZ DT RB VVN NNS CC NN NN ( )	BackGround	GRelated	Neutral
08-2005_10	We have implemented an extractive summarizer for educational science content, COGENT, based on MEAD version 3.11 ( )	PP VHP VVN DT JJ NN IN JJ NN NN , NP , VVN IN JJ NN CD ( )	Fundamental	Basis	Neutral
08-2005_11	Knowledge Puzzle focuses on n-gram identification to produce a list of candidate terms pruned using information extraction techniques to derive the ontology ( )	NN NN VVZ IN NN NN TO VV DT NN IN NN NNS VVN VVG NN NN NNS TO VV DT NN ( )	BackGround	GRelated	Neutral
