@relation context

@attribute demonstrative {0,1}
@attribute position {-1,0,1,2}
@attribute bigram real
@attribute trigram real
@attribute refOther {0,1}
@attribute refTarget {0,1}
@attribute refMultiple {0,1}
@attribute context {0,1}

@data
0,-1,0,0,0,0,0,0
1,0,1,1,1,1,1,1
0,1,2,2,0,0,0,0
1,2,3,3,0,0,0,0
0,-1,4,4,0,0,0,0
1,0,5,5,1,1,1,1
0,1,6,6,0,0,0,0
0,2,7,7,0,0,0,0
0,-1,8,8,0,0,0,0
1,0,9,9,1,1,1,1
0,1,10,10,0,0,0,0
0,2,11,11,0,0,0,0
0,-1,12,12,1,0,0,0
0,0,13,13,1,1,1,1
0,1,14,14,0,0,0,0
0,2,15,15,1,0,1,0
1,-1,16,16,0,0,0,0
0,0,17,17,0,1,0,1
0,1,18,18,0,0,0,0
1,2,19,19,0,0,0,0
1,-1,20,20,0,0,0,0
1,0,21,21,0,1,0,1
0,1,22,22,0,0,0,0
1,2,23,23,0,0,0,0
0,-1,24,24,0,0,0,0
0,0,25,25,0,1,0,1
1,1,26,26,1,0,1,0
0,2,27,27,0,0,0,0
0,-1,28,28,0,0,0,0
0,0,29,29,0,1,0,1
0,1,30,30,0,0,0,0
0,2,31,31,0,0,0,0
0,-1,32,32,0,0,0,0
0,0,33,33,1,0,0,1
0,1,34,34,0,0,0,0
0,2,35,35,0,0,0,0
0,-1,2,2,0,0,0,0
0,0,36,36,1,1,1,1
0,1,37,37,0,0,0,0
0,2,38,38,0,0,0,0
0,-1,39,39,0,0,0,0
0,0,40,40,1,1,1,1
0,1,41,41,1,0,1,0
1,2,42,42,1,0,0,0
0,-1,43,43,0,0,0,0
1,0,44,44,1,1,1,1
0,1,45,45,0,0,0,0
0,2,46,46,0,0,0,0
1,-1,47,47,0,0,0,0
0,0,48,48,1,0,0,1
0,1,49,49,0,0,0,0
0,2,50,50,0,0,0,0
0,-1,51,51,0,0,0,0
0,0,52,52,1,1,1,1
0,1,53,53,1,0,1,0
0,2,54,54,0,0,0,0
1,-1,55,55,0,0,0,0
0,0,56,56,0,1,0,1
0,1,57,57,0,0,0,0
1,2,58,58,0,0,0,0
0,-1,39,39,0,0,0,0
0,0,59,59,1,1,1,1
1,1,60,60,0,0,0,0
0,2,61,61,0,0,0,0
1,-1,62,62,0,0,0,0
1,0,34,63,1,0,1,1
0,1,63,64,1,0,0,0
1,2,64,65,0,0,0,0
1,-1,65,66,0,0,0,0
1,0,66,67,0,1,0,1
0,1,67,68,0,0,0,0
0,2,68,69,0,0,0,0
0,-1,69,70,0,0,0,0
0,0,70,71,1,1,1,1
0,1,71,72,0,0,0,0
1,2,72,73,1,0,1,0
1,-1,73,74,0,0,0,0
1,0,74,75,1,1,1,1
0,1,75,76,0,0,0,0
1,2,76,77,0,0,0,0
1,-1,77,78,0,0,0,0
1,0,78,79,1,0,1,1
0,1,79,80,0,0,0,0
1,2,64,81,0,0,0,0
1,-1,80,82,0,0,0,0
0,0,81,83,1,1,1,1
0,1,82,84,0,0,0,0
1,2,83,85,0,0,0,0
1,-1,84,86,0,0,0,0
0,0,84,87,0,0,0,1
1,1,85,88,0,0,0,0
1,2,86,89,0,0,0,0
1,-1,87,90,0,0,0,0
1,0,88,91,0,1,0,1
1,1,89,92,0,0,0,0
1,2,90,93,0,0,0,0
0,-1,91,94,0,0,0,0
0,0,92,95,1,1,1,1
0,1,93,96,0,0,0,0
0,2,94,97,0,0,0,0
0,-1,24,24,0,0,0,0
0,0,95,98,1,0,1,1
1,1,96,99,0,0,0,0
1,2,64,65,0,0,0,0
1,-1,77,100,0,0,0,0
1,0,97,101,1,1,1,1
1,1,98,102,0,0,0,0
0,2,99,103,0,0,0,0
0,-1,97,104,0,0,0,0
0,0,100,105,1,1,1,1
1,1,101,106,0,0,0,0
0,2,102,107,0,0,0,0
0,-1,103,108,0,0,0,1
1,0,104,109,0,1,0,0
0,1,105,110,1,0,0,0
